target_kind,complexity,noise_std,model,dim,eig_idx,budget,selected_lr,median_test_rmse,q25_test_rmse,q75_test_rmse,mean_test_rmse,n
general,13,0.1,unconstrained,15,7,2,0.0138949549437313,0.9528392553329468,0.923682227730751,0.9929766952991487,0.9591065055380265,96
general,13,0.1,unconstrained,15,7,5,0.0138949549437313,0.9173000156879426,0.8684852123260498,0.9531407952308655,0.916781614224116,96
general,13,0.1,unconstrained,15,7,10,0.0138949549437313,0.885665774345398,0.837855875492096,0.9145724773406982,0.8828079172720512,96
general,13,0.1,unconstrained,15,7,20,0.0051794746792312,0.8553919792175293,0.8246161937713623,0.8934391885995865,0.8601667986561855,96
general,13,0.1,unconstrained,15,7,50,0.0138949549437313,0.8112753033638,0.7758782207965851,0.8616149872541428,0.8172366824001074,96
general,13,0.1,unconstrained,15,7,100,0.0138949549437313,0.7830146253108978,0.7509371042251587,0.8205981403589249,0.7890414490054051,96
general,13,0.1,unconstrained,15,7,200,0.0138949549437313,0.7420282065868378,0.7058109045028687,0.7867580503225327,0.7498635873198509,96
general,13,0.1,unconstrained,15,7,500,0.0138949549437313,0.6807480454444885,0.6486736983060837,0.728739783167839,0.6878090134511391,96
monotone,5,0.0,monotone,5,2,1,0.1,0.7212451100349426,0.6224382072687149,0.8582844734191895,0.7447031959891319,96
monotone,5,0.0,monotone,5,2,2,0.1,0.6366522312164307,0.5603858530521393,0.7528881728649139,0.6557605493192872,96
monotone,5,0.0,monotone,5,2,5,0.1,0.5251883864402771,0.4511041417717933,0.6223475188016891,0.5325418251256148,96
monotone,5,0.0,monotone,5,2,10,0.1,0.4295978546142578,0.3744204491376876,0.5133999884128571,0.4478592579253018,96
monotone,5,0.0,monotone,5,2,20,0.1,0.3542153835296631,0.3204841837286949,0.43490523099899286,0.36985844979062676,96
monotone,5,0.0,monotone,5,2,50,0.1,0.2647763639688492,0.23435069993138308,0.2995034456253051,0.27305873110890383,96
monotone,5,0.0,monotone,5,2,100,0.1,0.22331217676401136,0.18595041707158083,0.2541000694036483,0.22281706100329754,96
monotone,5,0.0,monotone,5,2,200,0.1,0.17624087631702415,0.1431792825460433,0.20008304342627523,0.17531979076253867,96
monotone,5,0.0,monotone,5,2,500,0.0372759372031493,0.13352755457162854,0.11125347204506394,0.1514656208455562,0.13693224475719032,96
monotone,5,0.0,monotone,9,4,1,0.1,0.7817088961601257,0.6777919232845306,0.9130049347877504,0.8007276331384977,96
monotone,5,0.0,monotone,9,4,2,0.1,0.6652668118476868,0.5661986917257309,0.7877965569496155,0.6847127331420779,96
monotone,5,0.0,monotone,9,4,5,0.1,0.5353886485099792,0.46359796822071075,0.6087831854820251,0.5382345107694467,96
monotone,5,0.0,monotone,9,4,10,0.1,0.4172400683164596,0.3572093471884727,0.4863690212368965,0.42473810352385044,96
monotone,5,0.0,monotone,9,4,20,0.1,0.3397256731986999,0.3060978427529335,0.38302329927682877,0.34575072256848216,96
monotone,5,0.0,monotone,9,4,50,0.1,0.24783142656087875,0.21384355053305623,0.29019932448863983,0.25622555978285766,96
monotone,5,0.0,monotone,9,4,100,0.1,0.19507848471403116,0.15666687116026873,0.23026039823889727,0.20175072473163402,96
monotone,5,0.0,monotone,9,4,200,0.0372759372031493,0.14568293094635004,0.12969748675823212,0.1690144464373588,0.15188671912377075,96
monotone,5,0.0,monotone,9,4,500,0.0372759372031493,0.1004358194768428,0.08734303899109361,0.11729849316179744,0.10472488550779717,96
monotone,5,0.0,monotone,15,7,1,0.0372759372031493,0.789318174123764,0.6898835003376007,0.922054797410965,0.8069037261108557,96
monotone,5,0.0,monotone,15,7,2,0.1,0.7044137716293335,0.621484100818634,0.823620080947876,0.7228703396394849,96
monotone,5,0.0,monotone,15,7,5,0.1,0.5700736045837402,0.48395588248968124,0.6514794230461121,0.5700486740097404,96
monotone,5,0.0,monotone,15,7,10,0.1,0.4297019690275192,0.3614059537649154,0.48062707483768463,0.42803813858578604,96
monotone,5,0.0,monotone,15,7,20,0.1,0.34587162733078003,0.30165163427591324,0.40553006529808044,0.35140522631506127,96
monotone,5,0.0,monotone,15,7,50,0.0372759372031493,0.2501192837953567,0.22582421824336052,0.29268380254507065,0.2629094724543392,96
monotone,5,0.0,monotone,15,7,100,0.0372759372031493,0.19751824438571924,0.17177897691726685,0.23256035149097437,0.2033003335818648,96
monotone,5,0.0,monotone,15,7,200,0.0372759372031493,0.13191972672939295,0.11303349770605563,0.1531750448048114,0.14058577005440986,96
monotone,5,0.0,monotone,15,7,500,0.0372759372031493,0.0941485166549682,0.08176035992801182,0.11018549650907515,0.09668458458812283,96
monotone,5,0.0,unconstrained,5,2,1,0.1,0.7991380989551544,0.6780363470315933,0.869383379817009,0.7871756621946892,96
