target_kind,complexity,noise_std,model,dim,eig_idx,budget,selected_lr,median_test_rmse,q25_test_rmse,q75_test_rmse,mean_test_rmse,n
general,5,0.0,unconstrained,15,7,2,0.0372759372031493,0.537100076675415,0.3946014940738678,0.8647059202194214,0.6152542599787315,96
general,5,0.0,unconstrained,15,7,5,0.0372759372031493,0.39208838343620295,0.273757204413414,0.6051572859287262,0.46036043507047,96
general,5,0.0,unconstrained,15,7,10,0.0372759372031493,0.2585992217063903,0.16256718710064885,0.4511889517307281,0.3274015442002564,96
general,5,0.0,unconstrained,15,7,20,0.0372759372031493,0.15273004025220865,0.11014396883547305,0.2673540040850639,0.20664976327680049,96
general,5,0.0,unconstrained,15,7,50,0.0372759372031493,0.07052882760763166,0.042709294706582954,0.1196619570255279,0.09533262406087788,96
general,5,0.0,unconstrained,15,7,100,0.0372759372031493,0.03916648030281065,0.01958149531856175,0.07322440110146995,0.05498821959190533,96
general,5,0.0,unconstrained,15,7,200,0.0372759372031493,0.024679200723767253,0.013759014429524525,0.04572860896587365,0.03458259049026912,96
general,5,0.0,unconstrained,15,7,500,0.0138949549437313,0.01274504652246825,0.008394946111366125,0.0330604817718267,0.022114791982554935,96
general,10,0.0,unconstrained,5,2,1,0.1,0.9037190973758698,0.7273566126823425,1.0129870474338531,0.8889703378081322,96
general,10,0.0,unconstrained,5,2,2,0.1,0.7659107744693756,0.6542917639017105,0.9108131974935532,0.7880595813815793,96
general,10,0.0,unconstrained,5,2,5,0.1,0.7222259938716888,0.5802687704563141,0.8589349389076233,0.730122851828734,96
general,10,0.0,unconstrained,5,2,10,0.1,0.6483325362205505,0.4965508207678795,0.7947049885988235,0.6601831642910838,96
general,10,0.0,unconstrained,5,2,20,0.1,0.5347216427326202,0.4155953302979469,0.6402268260717392,0.5469653701099256,96
general,10,0.0,unconstrained,5,2,50,0.1,0.3889765292406082,0.29450822621583933,0.493056446313858,0.4162584126461297,96
general,10,0.0,unconstrained,5,2,100,0.1,0.3381977528333664,0.22284394130110735,0.43291572481393814,0.3473027832418059,96
general,10,0.0,unconstrained,5,2,200,0.1,0.27523282170295715,0.18300665542483324,0.3690721541643142,0.29801308736205095,96
general,10,0.0,unconstrained,5,2,500,0.1,0.22058979421854014,0.1397401355206966,0.3131998777389526,0.24308535045323268,96
general,10,0.0,unconstrained,9,4,1,0.1,0.9031877517700195,0.7781140506267548,1.0296180844306944,0.9058541484797994,96
general,10,0.0,unconstrained,9,4,2,0.1,0.7592885494232178,0.6622188836336136,0.9077424854040147,0.7805008464492857,96
general,10,0.0,unconstrained,9,4,5,0.1,0.6494344174861908,0.5494851917028427,0.7776474356651306,0.6666610194370151,96
general,10,0.0,unconstrained,9,4,10,0.1,0.5382958352565765,0.4184627085924148,0.6761194914579391,0.5693068774417043,96
general,10,0.0,unconstrained,9,4,20,0.1,0.43880175054073334,0.3234898447990417,0.555994912981987,0.45801031899948913,96
general,10,0.0,unconstrained,9,4,50,0.1,0.3121399879455566,0.21955367177724833,0.3844980224967003,0.33762092360605794,96
general,10,0.0,unconstrained,9,4,100,0.1,0.23216368257999415,0.16507472097873682,0.3388900384306907,0.273524543037638,96
general,10,0.0,unconstrained,9,4,200,0.1,0.17574456334114075,0.09134573489427564,0.2641464248299598,0.21461923424309737,96
general,10,0.0,unconstrained,9,4,500,0.1,0.0839253701269626,0.059782058931887073,0.1515078730881214,0.12825996137689796,96
general,10,0.0,unconstrained,15,7,1,0.0372759372031493,0.8387333452701569,0.6643159687519073,1.0002358555793762,0.8379398152853051,96
general,10,0.0,unconstrained,15,7,2,0.0372759372031493,0.7466304898262024,0.59608094394207,0.878580167889595,0.7451003988583883,96
general,10,0.0,unconstrained,15,7,5,0.0372759372031493,0.6100335717201233,0.5021025538444519,0.798894852399826,0.6353112243426343,96
general,10,0.0,unconstrained,15,7,10,0.1,0.488358274102211,0.39937314391136164,0.6494874507188797,0.5319049591198564,96
general,10,0.0,unconstrained,15,7,20,0.1,0.4007169902324676,0.30076836049556727,0.5123747438192368,0.435605239123106,96
general,10,0.0,unconstrained,15,7,50,0.1,0.2676173895597458,0.1941744089126587,0.3347732350230217,0.29886810943329084,96
general,10,0.0,unconstrained,15,7,100,0.0372759372031493,0.21009614318609235,0.1327197775244712,0.298353910446167,0.23802218427105493,96
