target_kind,complexity,target_seed,noise_std,model,dim,eig_idx,lr,init_seed,step,train_rmse,val_rmse,test_rmse,seconds
monotone,5,0,0.0,unconstrained,9,4,0.0001,1,10,0.3686334192752838,0.4019540250301361,0.4034721255302429,0.05327229097019881
monotone,5,0,0.0,unconstrained,9,4,0.0001,1,20,0.38610875606536865,0.3938763439655304,0.39538300037384033,0.07403920800425112
monotone,5,0,0.0,unconstrained,9,4,0.0001,1,50,0.3424648344516754,0.3718396723270416,0.37326744198799133,0.0993631660239771
monotone,5,0,0.0,unconstrained,9,4,0.0001,1,100,0.3099803328514099,0.3383603096008301,0.339628130197525,0.12974183296319097
monotone,5,0,0.0,unconstrained,9,4,0.0001,1,200,0.2912597954273224,0.28901469707489014,0.2897500693798065,0.1746174159925431
monotone,5,0,0.0,unconstrained,9,4,0.001,0,1,1.9542012214660645,1.894272804260254,1.8929862976074219,0.00041924999095499516
monotone,5,0,0.0,unconstrained,9,4,0.001,0,2,1.9354090690612793,1.8804254531860352,1.8791168928146362,0.017107791965827346
monotone,5,0,0.0,unconstrained,9,4,0.001,0,5,1.8852622509002686,1.8397815227508545,1.8383723497390747,0.03450379194691777
monotone,5,0,0.0,unconstrained,9,4,0.001,0,10,1.6932399272918701,1.7727420330047607,1.7711694240570068,0.05301137501373887
monotone,5,0,0.0,unconstrained,9,4,0.001,0,20,1.6771036386489868,1.642459511756897,1.6407140493392944,0.07280824996996671
monotone,5,0,0.0,unconstrained,9,4,0.001,0,50,1.1711664199829102,1.2562683820724487,1.2545145750045776,0.09796041704248637
monotone,5,0,0.0,unconstrained,9,4,0.001,0,100,0.7039491534233093,0.726969301700592,0.72603839635849,0.13090604194439948
monotone,5,0,0.0,unconstrained,9,4,0.001,0,200,0.20046134293079376,0.22070063650608063,0.22114615142345428,0.18513879203237593
monotone,5,0,0.0,unconstrained,9,4,0.001,1,1,0.4480660557746887,0.4017470180988312,0.4032495617866516,0.0005463330307975411
monotone,5,0,0.0,unconstrained,9,4,0.001,1,2,0.3559100925922394,0.3935600817203522,0.3950563073158264,0.021087125060148537
monotone,5,0,0.0,unconstrained,9,4,0.001,1,5,0.40947437286376953,0.36985889077186584,0.3713315427303314,0.0421658749692142
monotone,5,0,0.0,unconstrained,9,4,0.001,1,10,0.3039669692516327,0.334424763917923,0.3357221484184265,0.06389929202850908
monotone,5,0,0.0,unconstrained,9,4,0.001,1,20,0.2717049717903137,0.27890637516975403,0.2795136272907257,0.08710895804688334
monotone,5,0,0.0,unconstrained,9,4,0.001,1,50,0.15133482217788696,0.1867172122001648,0.18541991710662842,0.11730870802421123
monotone,5,0,0.0,unconstrained,9,4,0.001,1,100,0.08419092744588852,0.09949512779712677,0.09811688214540482,0.15420191700104624
monotone,5,0,0.0,unconstrained,9,4,0.001,1,200,0.02938561700284481,0.033800724893808365,0.03358028829097748,0.20697375002782792
monotone,5,0,0.0,unconstrained,9,4,0.01,0,1,1.9542012214660645,1.7674809694290161,1.7659114599227905,0.00041862495709210634
monotone,5,0,0.0,unconstrained,9,4,0.01,0,2,1.8119404315948486,1.6299245357513428,1.6282809972763062,0.017053292016498744
monotone,5,0,0.0,unconstrained,9,4,0.01,0,5,1.3963826894760132,1.2395075559616089,1.237513780593872,0.03439024998806417
monotone,5,0,0.0,unconstrained,9,4,0.01,0,10,0.7448283433914185,0.6754815578460693,0.6740418076515198,0.05239249998703599
monotone,5,0,0.0,unconstrained,9,4,0.01,0,20,0.16196537017822266,0.24748551845550537,0.25077590346336365,0.07196012500207871
monotone,5,0,0.0,unconstrained,9,4,0.01,0,50,0.10803448408842087,0.11136066913604736,0.11276213079690933,0.09686295897699893
monotone,5,0,0.0,unconstrained,9,4,0.01,0,100,0.03953227400779724,0.035365473479032516,0.035918302834033966,0.13288733398076147
monotone,5,0,0.0,unconstrained,9,4,0.01,0,200,0.0250996220856905,0.023138074204325676,0.02312874048948288,0.18297341698780656
monotone,5,0,0.0,unconstrained,9,4,0.01,1,1,0.4480660557746887,0.3322446942329407,0.33339154720306396,0.0003851250512525439
monotone,5,0,0.0,unconstrained,9,4,0.01,1,2,0.2944008409976959,0.277118444442749,0.277732253074646,0.01737729099113494
monotone,5,0,0.0,unconstrained,9,4,0.01,1,5,0.2126350700855255,0.23636473715305328,0.23411233723163605,0.034984291065484285
monotone,5,0,0.0,unconstrained,9,4,0.01,1,10,0.12083528190851212,0.1444658488035202,0.14333173632621765,0.05264420807361603
monotone,5,0,0.0,unconstrained,9,4,0.01,1,20,0.09513022005558014,0.09519873559474945,0.09685944020748138,0.07602500007487833
monotone,5,0,0.0,unconstrained,9,4,0.01,1,50,0.03873604163527489,0.03326897323131561,0.033132124692201614,0.10634145804215223
monotone,5,0,0.0,unconstrained,9,4,0.01,1,100,0.02355251833796501,0.023782119154930115,0.023610791191458702,0.1370019579771906
monotone,5,0,0.0,unconstrained,9,4,0.01,1,200,0.014438409358263016,0.015617886558175087,0.01563325896859169,0.18913029099348933
monotone,5,0,0.0,unconstrained,9,4,0.1,0,1,1.9542012214660645,0.6646963953971863,0.6647324562072754,0.0004419590113684535
monotone,5,0,0.0,unconstrained,9,4,0.1,0,2,0.6959248185157776,0.39534762501716614,0.39859431982040405,0.017251000041142106
