protocol,optimizer,preprocessor_sample_size,preprocessor_seed,train_size,data_seed,model,preprocessing,matrix_dim,eig_idx,fm_rank,parameters_per_feature,num_parameters,lr,init_seed,train_logloss,val_logloss,val_brier,test_logloss,test_brier,elapsed_seconds
one_pass,adam,3667249,0,4194304,0,spectral-new,hybrid,3,1,0,6,5112144,0.1,0,0.5795174205559306,0.573750475814269,0.17981218578635785,,,85.66442183405161
one_pass,adam,3667249,0,16384,0,spectral-new,hybrid,3,1,0,6,5112144,0.1,1,0.6249014437198639,0.6041093931726791,0.19863772236772465,,,17.383898000000045
one_pass,adam,3667249,0,262144,0,spectral-new,hybrid,3,1,0,6,5112144,0.1,1,0.5875846864655614,0.5480118550295414,0.17509794870816534,,,36.75622558302712
one_pass,adam,3667249,0,4194304,0,spectral-new,hybrid,3,1,0,6,5112144,0.1,1,0.575668299163226,0.5731913776046607,0.17946784937690963,,,86.2752984170802
one_pass,adam,3667249,0,16384,0,fm,bucket,0,-1,14,15,19169281,0.001,0,0.678730234503746,0.6579957636041207,0.23245848629150867,,,19.784058875055052
one_pass,adam,3667249,0,262144,0,fm,bucket,0,-1,14,15,19169281,0.001,0,0.5550033077597618,0.4933888918374554,0.15989648627562558,,,42.60407362494152
one_pass,adam,3667249,0,4194304,0,fm,bucket,0,-1,14,15,19169281,0.001,0,0.4708267158421222,0.45891164496562953,0.1488633648558222,0.46424209780019815,0.1508218474757377,113.3546837499598
one_pass,adam,3667249,0,16384,0,fm,bucket,0,-1,14,15,19169281,0.001,1,0.6782933324575424,0.6575402655921109,0.23223210659018137,,,19.275799708091654
one_pass,adam,3667249,0,262144,0,fm,bucket,0,-1,14,15,19169281,0.001,1,0.5540680014528334,0.49278159376899755,0.15974089528189514,,,42.462984958081506
one_pass,adam,3667249,0,4194304,0,fm,bucket,0,-1,14,15,19169281,0.001,1,0.47047489063697867,0.45879622515832014,0.14883013360999992,0.4642419757714806,0.15082705321883122,113.4566917080665
one_pass,adam,3667249,0,16384,0,fm,bucket,0,-1,14,15,19169281,0.01,0,0.6266802996397018,0.5547533978641693,0.1845490645041991,0.5596156385193066,0.18680277796099498,19.52110995806288
one_pass,adam,3667249,0,262144,0,fm,bucket,0,-1,14,15,19169281,0.01,0,0.5091118142008781,0.489113510965113,0.159868692510957,0.4941894772431472,0.1617158928710018,42.469872583053075
one_pass,adam,3667249,0,4194304,0,fm,bucket,0,-1,14,15,19169281,0.01,0,0.5006151972629596,0.5060885785576944,0.1636673009326046,,,114.11026112502441
one_pass,adam,3667249,0,16384,0,fm,bucket,0,-1,14,15,19169281,0.01,1,0.6238299012184143,0.550469278530675,0.18277342021632645,0.5553595511994023,0.1850207263748939,19.78863166703377
one_pass,adam,3667249,0,262144,0,fm,bucket,0,-1,14,15,19169281,0.01,1,0.5070320195518434,0.4874836012323722,0.159235507571269,0.49253386779647773,0.1610653198742765,44.018624417018145
one_pass,adam,3667249,0,4194304,0,fm,bucket,0,-1,14,15,19169281,0.01,1,0.5007436345622409,0.5064198867122486,0.16364581287209767,,,115.00355416699313
one_pass,adam,3667249,0,16384,0,fm,bucket,0,-1,14,15,19169281,0.1,0,10.977546453475952,7.205082504346377,0.6530251862330095,,,20.130897625000216
one_pass,adam,3667249,0,262144,0,fm,bucket,0,-1,14,15,19169281,0.1,0,3.3497953601181507,2.4274306041534164,0.26933827443848346,,,43.46116520802025
one_pass,adam,3667249,0,4194304,0,fm,bucket,0,-1,14,15,19169281,0.1,0,5.263439216651022,7.313928235827096,0.2866193903342887,,,115.23486137506552
one_pass,adam,3667249,0,16384,0,fm,bucket,0,-1,14,15,19169281,0.1,1,8.091402366757393,2.938177349043221,0.4906747950358207,,,20.529441124992445
one_pass,adam,3667249,0,262144,0,fm,bucket,0,-1,14,15,19169281,0.1,1,3.01220225635916,2.556396820889327,0.2716224160289507,,,44.11622420803178
one_pass,adam,3667249,0,4194304,0,fm,bucket,0,-1,14,15,19169281,0.1,1,5.389381211542059,7.38661545871547,0.2849877368158343,,,115.9080616250867
one_pass,adam,3667249,0,16384,0,spectral-old,bucket,5,2,0,15,19169295,0.001,0,0.6870786100625992,0.6645323592009654,0.23596745942223274,,,24.042807457968593
one_pass,adam,3667249,0,262144,0,spectral-old,bucket,5,2,0,15,19169295,0.001,0,0.573470457457006,0.5276674978330703,0.17449411694265443,,,51.30180912499782
one_pass,adam,3667249,0,4194304,0,spectral-old,bucket,5,2,0,15,19169295,0.001,0,0.47990152559941635,0.4631792521692807,0.15053399601099277,0.46851590339696864,0.15250029474169347,125.00225283298641
one_pass,adam,3667249,0,16384,0,spectral-old,bucket,5,2,0,15,19169295,0.001,1,0.7354970872402191,0.7093935722608603,0.257753898620975,,,23.831578709068708
one_pass,adam,3667249,0,262144,0,spectral-old,bucket,5,2,0,15,19169295,0.001,1,0.5892614340409636,0.5270815402306199,0.17404660670214933,,,51.199625667068176
one_pass,adam,3667249,0,4194304,0,spectral-old,bucket,5,2,0,15,19169295,0.001,1,0.4795719104295131,0.4627428747857625,0.15037173817000987,0.46813660399075885,0.15235860573812784,124.42932629201096
one_pass,adam,3667249,0,16384,0,spectral-old,bucket,5,2,0,15,19169295,0.01,0,0.6120159775018692,0.5664466656782464,0.18835961927266634,0.5736990258307062,0.19143693535762565,25.054736832971685
one_pass,adam,3667249,0,262144,0,spectral-old,bucket,5,2,0,15,19169295,0.01,0,0.5098493713885546,0.4855570870341427,0.15848761688699592,0.49132632055889036,0.16057284118590218,52.31138183292933
one_pass,adam,3667249,0,4194304,0,spectral-old,bucket,5,2,0,15,19169295,0.01,0,0.4839073483890388,0.48220431727593277,0.15677810536025216,,,125.30617674998939
one_pass,adam,3667249,0,16384,0,spectral-old,bucket,5,2,0,15,19169295,0.01,1,0.6433450132608414,0.5676269711596861,0.18928845807546485,0.5738731143292263,0.19204773407582046,24.374623458017595
