protocol,optimizer,train_pool_size,phase,train_size,data_seed,model,dim,width,num_parameters,lr,init_seed,val_logloss,test_logloss,test_brier
repeated_shuffle,adam,10000000,tuning,16384,0,linear,0,0,29,0.0007196856730011522,4,0.7461130114746094,,
repeated_shuffle,adam,10000000,tuning,65536,0,linear,0,0,29,0.0007196856730011522,4,0.7383509925842285,,
repeated_shuffle,adam,10000000,tuning,262144,0,linear,0,0,29,0.0007196856730011522,4,0.7128266986694336,,
repeated_shuffle,adam,10000000,tuning,1048576,0,linear,0,0,29,0.0007196856730011522,4,0.6697220300292969,,
repeated_shuffle,adam,10000000,tuning,4194304,0,linear,0,0,29,0.0007196856730011522,4,0.6445587169189453,,
repeated_shuffle,adam,10000000,tuning,8388608,0,linear,0,0,29,0.0007196856730011522,4,0.6391973272399902,,
repeated_shuffle,adam,10000000,tuning,16777216,0,linear,0,0,29,0.0007196856730011522,4,0.6372180969238281,,
repeated_shuffle,adam,10000000,tuning,33554432,0,linear,0,0,29,0.0007196856730011522,4,0.6371855224914551,,
repeated_shuffle,adam,10000000,tuning,67108864,0,linear,0,0,29,0.0007196856730011522,4,0.6371869424743652,,
repeated_shuffle,adam,10000000,tuning,4096,0,linear,0,0,29,0.0007196856730011522,5,0.751913735961914,,
repeated_shuffle,adam,10000000,tuning,16384,0,linear,0,0,29,0.0007196856730011522,5,0.7499618646850585,,
repeated_shuffle,adam,10000000,tuning,65536,0,linear,0,0,29,0.0007196856730011522,5,0.7424616950073242,,
repeated_shuffle,adam,10000000,tuning,262144,0,linear,0,0,29,0.0007196856730011522,5,0.7178302104492188,,
repeated_shuffle,adam,10000000,tuning,1048576,0,linear,0,0,29,0.0007196856730011522,5,0.6703914336547852,,
repeated_shuffle,adam,10000000,tuning,4194304,0,linear,0,0,29,0.0007196856730011522,5,0.6425808187255859,,
repeated_shuffle,adam,10000000,tuning,8388608,0,linear,0,0,29,0.0007196856730011522,5,0.6382277145385742,,
repeated_shuffle,adam,10000000,tuning,16777216,0,linear,0,0,29,0.0007196856730011522,5,0.6371827167663574,,
repeated_shuffle,adam,10000000,tuning,33554432,0,linear,0,0,29,0.0007196856730011522,5,0.6371855075988769,,
repeated_shuffle,adam,10000000,tuning,67108864,0,linear,0,0,29,0.0007196856730011522,5,0.637186938079834,,
repeated_shuffle,adam,10000000,tuning,4096,0,linear,0,0,29,0.0007196856730011522,6,0.7316564829711915,,
repeated_shuffle,adam,10000000,tuning,16384,0,linear,0,0,29,0.0007196856730011522,6,0.7298296413269043,,
repeated_shuffle,adam,10000000,tuning,65536,0,linear,0,0,29,0.0007196856730011522,6,0.7229258472290039,,
repeated_shuffle,adam,10000000,tuning,262144,0,linear,0,0,29,0.0007196856730011522,6,0.7012105557861328,,
repeated_shuffle,adam,10000000,tuning,1048576,0,linear,0,0,29,0.0007196856730011522,6,0.6657298652038575,,
