protocol,optimizer,preprocessor_sample_size,preprocessor_seed,phase,train_size,data_seed,model,dim,lr,init_seed,val_logloss,test_logloss,test_brier
one_pass,adam+sparseadam,3667249,0,tuning,4096,0,linear-bucketed,0,0.0071968567300115215,3,0.6373310865363429,,
one_pass,adam+sparseadam,3667249,0,tuning,16384,0,linear-bucketed,0,0.0071968567300115215,3,0.5584396672742283,,
one_pass,adam+sparseadam,3667249,0,tuning,65536,0,linear-bucketed,0,0.0071968567300115215,3,0.5160450421387283,,
one_pass,adam+sparseadam,3667249,0,tuning,262144,0,linear-bucketed,0,0.0071968567300115215,3,0.4788036364069129,,
one_pass,adam+sparseadam,3667249,0,tuning,1048576,0,linear-bucketed,0,0.0071968567300115215,3,0.4671387285461217,,
one_pass,adam+sparseadam,3667249,0,tuning,4194304,0,linear-bucketed,0,0.0071968567300115215,3,0.4637783127534035,,
one_pass,adam+sparseadam,3667249,0,tuning,16777216,0,linear-bucketed,0,0.0071968567300115215,3,0.46151165521523224,,
one_pass,adam+sparseadam,3667249,0,tuning,4096,0,linear-bucketed,0,0.0071968567300115215,4,0.6373310865363429,,
one_pass,adam+sparseadam,3667249,0,tuning,16384,0,linear-bucketed,0,0.0071968567300115215,4,0.5584396672742283,,
one_pass,adam+sparseadam,3667249,0,tuning,65536,0,linear-bucketed,0,0.0071968567300115215,4,0.5160450421387283,,
one_pass,adam+sparseadam,3667249,0,tuning,262144,0,linear-bucketed,0,0.0071968567300115215,4,0.4788036364069129,,
one_pass,adam+sparseadam,3667249,0,tuning,1048576,0,linear-bucketed,0,0.0071968567300115215,4,0.4671387285461217,,
one_pass,adam+sparseadam,3667249,0,tuning,4194304,0,linear-bucketed,0,0.0071968567300115215,4,0.4637783127534035,,
one_pass,adam+sparseadam,3667249,0,tuning,16777216,0,linear-bucketed,0,0.0071968567300115215,4,0.46151165521523224,,
one_pass,adam+sparseadam,3667249,0,tuning,4096,0,linear-bucketed,0,0.0071968567300115215,5,0.6373310865363429,,
one_pass,adam+sparseadam,3667249,0,tuning,16384,0,linear-bucketed,0,0.0071968567300115215,5,0.5584396672742283,,
one_pass,adam+sparseadam,3667249,0,tuning,65536,0,linear-bucketed,0,0.0071968567300115215,5,0.5160450421387283,,
one_pass,adam+sparseadam,3667249,0,tuning,262144,0,linear-bucketed,0,0.0071968567300115215,5,0.4788036364069129,,
one_pass,adam+sparseadam,3667249,0,tuning,1048576,0,linear-bucketed,0,0.0071968567300115215,5,0.4671387285461217,,
one_pass,adam+sparseadam,3667249,0,tuning,4194304,0,linear-bucketed,0,0.0071968567300115215,5,0.4637783127534035,,
one_pass,adam+sparseadam,3667249,0,tuning,16777216,0,linear-bucketed,0,0.0071968567300115215,5,0.46151165521523224,,
one_pass,adam+sparseadam,3667249,0,tuning,4096,0,linear-bucketed,0,0.0071968567300115215,6,0.6373310865363429,,
one_pass,adam+sparseadam,3667249,0,tuning,16384,0,linear-bucketed,0,0.0071968567300115215,6,0.5584396672742283,,
one_pass,adam+sparseadam,3667249,0,tuning,65536,0,linear-bucketed,0,0.0071968567300115215,6,0.5160450421387283,,
one_pass,adam+sparseadam,3667249,0,tuning,262144,0,linear-bucketed,0,0.0071968567300115215,6,0.4788036364069129,,
one_pass,adam+sparseadam,3667249,0,tuning,1048576,0,linear-bucketed,0,0.0071968567300115215,6,0.4671387285461217,,
one_pass,adam+sparseadam,3667249,0,tuning,4194304,0,linear-bucketed,0,0.0071968567300115215,6,0.4637783127534035,,
one_pass,adam+sparseadam,3667249,0,tuning,16777216,0,linear-bucketed,0,0.0071968567300115215,6,0.46151165521523224,,
one_pass,adam+sparseadam,3667249,0,tuning,4096,0,linear-bucketed,0,0.0071968567300115215,7,0.6373310865363429,,
one_pass,adam+sparseadam,3667249,0,tuning,16384,0,linear-bucketed,0,0.0071968567300115215,7,0.5584396672742283,,
one_pass,adam+sparseadam,3667249,0,tuning,65536,0,linear-bucketed,0,0.0071968567300115215,7,0.5160450421387283,,
one_pass,adam+sparseadam,3667249,0,tuning,262144,0,linear-bucketed,0,0.0071968567300115215,7,0.4788036364069129,,
one_pass,adam+sparseadam,3667249,0,tuning,1048576,0,linear-bucketed,0,0.0071968567300115215,7,0.4671387285461217,,
one_pass,adam+sparseadam,3667249,0,tuning,4194304,0,linear-bucketed,0,0.0071968567300115215,7,0.4637783127534035,,
